college_code,college_name
E001,University Visveswariah College of Engineering Bangalore
E001,University of Visvesvaraya College of Engineering Bangalore
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )
E001,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle,  Bangalore"
E002,S K S J T Institute of Engineering. Bangalore
E002,"Govt.S K S J T Institute of Engineering,  Bangalore AMBEDKAR VEEDHI"
E003,"B M S College of Engineering,  Basavanagudi"
E003,"B M S College of Engineering Basavanagudi, Bangalore"
E004,"Dr. Ambedkar Institute of Technology,  Bangalore(AUTONOMOUS) OUTER RING ROAD"
E004,Dr. Ambedkar Institute Of Technology Bangalore
E005,"R. V. College of Engineering,  Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST"
E005,R. V. College of Engineering Bangalore
E006,M S Ramaiah Institute of Technology Bangalore
E006,"M S Ramaiah Institute of Technology,  Bangalore(AUTONOMOUS) VIDYA SOUDHA"
E007,Dayananda Sagar College of Engineering Bangalore
E007,"Dayananda Sagar College of Engineering,  Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS"
E008,Bangalore Institute of Technology Bangalore
E008,"Bangalore Institute of Technology,  K.R.Road"
E009,P E S University (Ring Road Campus) Bangalore
E009,"PES University 100 Feet Ring Road,  Banashankari"
E011,"M V J College of Engineering,  Bangalore(AUTONOMOUS) NEAR ITPB"
E011,M V J College of Engineering Bangalore
E012,"Sir M.Visveswaraya Institute of Technology Hunasemaranahalli, Bangalore"
E012,"Sir M.Visvesvaraya Institute of Technology,  Bangalore KRISHNADEVARAYANAGAR"
E013,"Ghousia Engineering College,  Ramanagara BANGALORE - MYSORE ROAD"
E013,Ghousia Engineering College Ramanagara
E014,"S J C Institute of Technology,  Chickkaballapur(AUTONOMOUS) P B NO. 20"
E014,S J C Institute of Technology Chickballapur
E015,"Dr.T.Thimmaiah Institute of Technology,  KGF 00RGAUM POST"
E015,Dr.T.Thimmaiah Institute of Technology BANGARAPET -TQ kolar District
E016,"Siddaganga Institute of Technology, Tumkur"
E016,Siddaganga Institute of Technology Tumkur
E017,Sri Siddartha Institute of Technology Tumkur
E017,"Sri Siddhartha Institute of Technology MARALUR , TUMKUR"
E018,Kalpatharu Institute of Technology Tiptur
E018,"Kalpatharu Institute of Technology,  Tiptur B.H.ROAD"
E021,"Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University),  Mysore JSS TECHNICAL INSTITUTIONS CAMPUS"
E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.) Mysore
