college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,1G,7512.0,7512,7512,0.0,1,7512,860.4999998279,8372
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2AG,5887.0,5887,5887,0.0,1,5887,582.39999988352,6469
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2AK,19828.0,19828,19828,0.0,1,19828,0.0,19828
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2AR,14622.0,14622,14622,0.0,1,14622,-2063.09999958738,12559
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,2BG,7098.0,7098,7098,0.0,1,7098,1155.9999997688,8254
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3AG,4009.0,4009,4009,0.0,1,4009,225.89999995482,4235
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3AR,9232.0,9232,9232,0.0,1,9232,-2429.99999514,6802
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,3BG,5036.0,5036,5036,0.0,1,5036,220.9999999558,5257
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GM,3279.0,3279,3279,0.0,1,3279,448.89999991022,3728
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GMK,6832.0,6832,6832,0.0,1,6832,-472.9999999054,6359
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,GMR,7266.0,7266,7266,0.0,1,7266,-235.4999999529,7031
E001,University Visveswariah College of Engineering Bangalore,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,SCG,14474.0,14474,14474,0.0,1,14474,3851.39999922972,18325
